,ASIN,title,rating,review_count,price,product_type
97,B07ZHHSB5Y,"Dell SE2417HGX 23.6 Inch TN, Anti Glare, LED-Backlit Gaming Monitor (Black) 1 MS Reponse Time, FHD (1920 x 1080) at 60 Hz, Thin Bezel, 2xHDMI, VGA, Tilt and AMD Radeon FreeSync, 24",4.6,205,149.99,monitor
98,B08CLSXJSW,"Samsung Business FT452 Series 24 inch 1080p 75Hz IPS Computer Monitor for Business with HDMI, DisplayPort, USB, HAS Stand, 3-Yr Wrnty (F24T452FQN), Black",4.6,532,149.99,monitor
99,B08C4BXY41,"Mobile Pixels Trio Max Portable Monitor, 14'' Full HD IPS Dual or Triple monitors for laptops, USB C / USB A powered portable display with touch-sensitive menu ,Windows/OS/Android System Compatible",4.2,431,309.0,monitor
100,B00EZSUVHK,"ViewSonic VX2452MH 24 Inch 2ms 60Hz 1080p Gaming Monitor with HDMI DVI and VGA inputs, Black",4.7,3696,129.99,monitor
101,B01BV1XB2K,LG Full HD IPS UltraWide Monitor,4.4,3189,149.99,monitor
102,B08LCPNPNG,"ASUS VL249HE 23.8” Eye Care Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI VGA, Frameless Slim Design, VESA Wall Mountable",4.5,12,109.99,monitor
103,B0813MP9JZ,Dell 32 Inch LED Curved QHD FreeSync Monitor with HDR 2K Quad HD 2560 x 1440 Resolution 16:9 Aspect Ratio Displayport HDMI,4.7,89,449.99,monitor
104,B07RGPCQG1,"Portable Monitor - Lepow 15.6 Inch Computer Display 1920×1080 Full HD IPS Screen USB C Gaming Monitor with Type-C Mini HDMI for Laptop PC MAC Phone Xbox PS4, Include Smart Cover & Screen Protector",4.4,4783,188.98,monitor
105,B084R38GNV,"Lenovo C27-20 27-Inch WLED Monitor, FHD, IPS, FreeSync, 75Hz, 4ms, HDMI, VGA, Ergonomic Design, 65F6KCC1US, Black",4.8,110,166.12,monitor
106,B07WMTJGFX,"Asus VA229HR 21.5” Monitor Frameless 1080P 75Hz IPS Eye Care HDMI VGA with 178° Wide Viewing Angle,Black",4.6,261,96.99,monitor
107,B07FFC14SZ,"LG 27MK600M-B 27"" Full HD IPS Monitor with Radeon FreeSync Technology and Virtually Borderless Design",4.6,795,156.99,monitor
108,B082MLVXRR,"ErGear 17-32"" Dual Monitor Stand Mount, Heavy-Duty Fully Adjustable Desk Clamp Arms for Computer Screens, Loads up to 17.6lbs per arm w/Swivel and Tilt, 75/100mm VESA, Black - EGCM1",4.4,1872,29.97,monitor
109,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
110,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
111,B07MKZHR3P,"AV-Cables 12G 4K HD SDI BNC - BNC Cable Belden 4855R Mini RG59 (50ft, Black)",4.6,43,84.36,monitor
112,B00QRMFEAQ,MarCELL Cellular Temperature/Humidity Monitor (Verizon),4.6,299,189.0,monitor
113,B07T5SY43L,"Huanuo Dual Monitor Stand - Adjustable Spring Monitor Desk Mount Swivel Vesa Bracket with C Clamp, Grommet Mounting Base for 17 to 27 Inch Computer Screens - Each Arm Holds 4.4 to 14.3lbs",4.6,3692,52.99,monitor
114,B08DP425GW,"Lenovo D22-20 21.5-inch FHD (1920 x 1080) LED Backlit LCD Monitor, 16:9 Widescreen, 75Hz, 5ms, HDMI, VGA, VESA Mount, 66ADKCC1US, Raven Black",4.4,76,86.47,monitor
115,B07HZ499J4,"Viotek GN34CW 34-Inch 21:9 Ultrawide Curved Gaming and Professional Computer Monitor, 100Hz 1440p, FreeSync FTS/RTS VESA (White)",4.5,2459,349.99,monitor
