ASIN,title,rating,review_count,price,product_type
B08Q7PF826,"WKING-7 Over Ear Earhook True Wireless Earbuds with Charging Case, in-Ear Headphones Waterproof Sport Bluetooth 5.0 Earphones/Volume Control, 10H Playtime, Noise canceling for Running Workout Gym",4.8,405,25.99,headphone
B0888FN9N3,"PeohZarr Kids Headphones with Mic, 85dB/94dB Safe Volume Limited On-Ear Headphones for Kids Girls Boys, 3.5mm Jack Stereo Foldable Wired Headphones for Cellphones/Tablet/Kindle/School/Travel",4.6,1153,10.99,headphone
B0816QQCPD,"Unicorn Kids Headphones for Girls Children Teens, Wired Headphones with Adjustable Headband, 3.5mm Jack and Tangle-Free Cord, Over On Ear Headset w/Mic for School Birthday Xmas Unicorn Gift (Wired)",4.5,2046,19.98,headphone
B084P23B6R,"Mpow Bluetooth Headset V5.0 with Dual Microphone, Wireless PC Headphones,CVC8.0 Noise Canceling, On Ear for Computer,Cell Phone, Call Center, Office, Skype, 22 H Talk Time,Soft Earpad (Wired Optional)",4.2,5040,49.99,headphone
B07HKVCVSY,"Audio-Technica ATHM50XBT Wireless Bluetooth Over-Ear Headphones, Black",4.6,3519,179.0,headphone
B00B1N06PO,"Tascam TH-02 Closed Back Studio Headphones, Black",4.4,5753,29.0,headphone
B08P329YL4,"Hybrid Active Noise Cancelling Headphones-SuperEQ S1 Bluetooth 5.0 Over Ear Wireless Wired Headset with Ambient Mode, 45H Playtime, Hi-Fi Deep Bass, Memory Foam Earpads for Travel Home Office (Black)",4.7,264,59.99,headphone
B083WG15NH,"Charlxee Kids Headphones with Microphone Over-Ear/On-Ear for School/PC,HD Sound Unicorn Headphones for Children Boys Girls, Volume Limited Adjustable Headset(Pink)",4.6,1716,19.99,headphone
B07ZRSPGLH,"Bluetooth Headphones Wireless,Tuinyo Over Ear Stereo Wireless Headset 35H Playtime with deep bass, Soft Memory-Protein Earmuffs, Built-in Mic Wired Mode PC/Cell Phones/TV- Rose Gold",4.4,3396,25.99,headphone
B08LG67VW3,"Zamkol Kids Wireless Headphones, Bluetooth 5.0, 40 Hours Playing Time, Portable Foldable Stereo Wireless Headset with Microphone and Safe Volume Limited 85dB, for PC/Cell Phones/TV/iPad (Blue)",4.9,112,29.99,headphone
B08LKXBHX9,"Wireless Earbuds,True Bluetooth 5.0 Headphones with USB-C & Wireless Charging Case,VEATOOL Hi-Fi Stereo & Waterproof 30H Playtime Twins Bluetooth Earphones,Touch Control Headset with Microphone",4.6,1743,36.88,headphone
B08JCHRJXR,"Bluetooth Headphones Over Ear, BLARO Hi-Fi Deep Bass Wireless＆Wired Headsets, 72 Hours Playtime, Soft Memory Protein Earmuffs, Foldable Headphones with CVC6.0 Mic-red",4.6,904,28.99,headphone
B089GZ8JRV,"HOTCOK H37 Kids Headphones for Girls Boys Foldable Adjustable On Ear Headphones 3.5mm Jack Wired Cord for School,Home,Airplane,Car(Green/Purple)",4.4,270,8.99,headphone
B088NHNW8B,"Classroom Headphones Bulk 5 Pack, Student On Ear Color Varieties, Comfy Swivel Earphones for Library, School, Airplane, Kids, for Online Learning and Travel, Noise Reducing, Stereo Sound 3.5mm Jack",4.3,851,36.97,headphone
B074JHQ8M3,"Cyber Acoustics 3.5mm Stereo Headset with Headphones and Noise Cancelling Microphone for PCs, Tablets, and Cell Phones in The Office, Classroom or Home (AC-5002A)",4.2,5296,15.99,headphone
