Title,ASIN,Batterylife_hrs,Batteries,Best_seller_rank,Brand,Card_Description,Color,Comp_memory_type,First_date_avai,Memory_size,Graphic_coprocessor,Hardware_Platform,Item_Dimension,Model_number,MaxScreen_res,OS,Power_source,Processor_brand,Processor_count,Prod_dimension,Screen_resolution,Series,Display_size
"Microsoft Surface Book 2 (Intel Core i7, 8GB RAM, 256GB) - 13.5in (Renewed)",B07F2457VB,17,,39011,Microsoft,Dedicated,,GDDR5,2018-06-26,256,NVIDIA GeForce GTX 1050,,12.3 x 9.14 x 0.9 ,HN4-00001-cr,1920 x 1080,Windows 10 Pro,,Intel,4,12.3 x 9.14 x 0.9 ,,Microsoft Surface Book,13.5
"Lenovo Legion Y740-15IRH Gaming Laptop, 15.6"" Screen, Intel Core i7, 16GB Memory, 1TB Hard Drive/256GB Solid State Drive, Windows 10, 81UF0001US",B07QFNN4GK,5,1 Lithium ion batteries required. (included),39610,Lenovo,Dedicated,,Unknown,2019-05-17,256,NVIDIA GeForce GTX 1660Ti,,14.2 x 10.4 x 0.9 ,81UF0001US,1920 x 1080,Windows 10,Battery Powered,,1,14.2 x 10.4 x 0.9 ,,Lenovo Legion,15.6
"Acer Chromebook 15, Intel Celeron N3350, 15.6"" Full HD Touch, 4GB LPDDR4, 32GB Storage, Google Chrome, Pure Silver, CB515-1HT-C2AE, 15-15.99 Inches",B07GM2TCPM,12,1 Lithium Polymer batteries required. (included),13239,Acer,Integrated,Silver,DDR DRAM,2018-08-18,32,Intel,PC,14.88 x 10.08 x 0.75 ,,1920 x 1080 ,Chrome OS,Battery Powered,Intel,2,14.88 x 10.08 x 0.75 ,,CB515-1HT-C2AE,15.6
"ASUS ZenBook Flip Ultra-Slim - 14in FHD wideview display, Intel Core i7-8550U, 16GB RAM, 512GB NVMe PCIe SSD, Nvidia MX150, Windows 10 Home UX461UN-DS74T (Renewed)",B07H6T18DH,,,108490,ASUS,Dedicated,Slate Grey,Unknown,2018-09-08,512,NVIDIA GeForce MX150,Windows,12.9 x 8.9 x 0.5 ,,1920x1080 ,Windows 10,,Intel Core i7,4,12.9 x 8.9 x 0.5 ,,ASUS ZenBook,14
"Acer Aspire 3 15.6"" LED HD Laptop AMD Ryzen 3 2200U Radeon Vega 3 Graphics 1TB Hard Drive 8GB DDR4 Memory 802.11ac WiFi USB 3.0 Webcam SD Card Reader HDMI Ethernet Windows 10 Home",B07FNYWGH6,6,1 Lithium ion batteries required. (included),42246,Acer,,Black,DDR4 SDRAM,2018-07-18,,Vega 3,PC,15 x 10.3 x 1 ,A315-41-R3RF,1366 x 768,Windows 10,Battery Powered,AMD,1,15 x 10.3 x 1 ,,A315-41-R3RF,15.6
"Acer C720-2103 Chromebook (11.6-Inch, Intel Celeron, 2GB DDR3L, 16GB SSD)",B00GZB8D0M,8.5,1 Lithium Polymer batteries required. (included),5818,Acer,Integrated,Granite Gray,DDR3 SDRAM,2016-01-03,16,Intel HD Graphics,PC,8.03 x 11.34 x 0.75 ,NX.SHEAA.006,1366x768,Chrome OS,Battery Powered,Intel Celeron,2,8.03 x 11.34 x 0.75 ,,C720,11.6
"Lenovo 20LD001GUS Thinkpad X1 Yoga 20LD 14"" Flip Design Notebook - Windows - Intel Core i5 1.6 GHz - 8 GB RAM - 256 GB SSD, Black",B079LGLVJJ,6,1 Lithium ion batteries required. (included),73641,Lenovo,Integrated,Black,Unknown,2018-02-07,256,Intel UHD Graphics 620,Windows,13.1 x 9 x 0.7 ,20LD001GUS,1920 x 1080 ,Windows 10 Pro,Corded-Electric,Intel,4,13.1 x 9 x 0.7 ,1920x1080,Lenovo Thinkpad,14
"Lenovo ThinkPad X201 3626F2U 12.1-Inch Notebook (2.5 GHz Intel Core i5-540m Processor, 4GB DDR3, 320GB HDD, Windows 7 Professional) Black",B003DWYUM6,2.5,,84496,Lenovo,Integrated,Black,DDR3 SDRAM,2010-03-24,,Intel HD Graphics,PC,,3626F2U,,Windows 7 Professional,Battery,Intel,2,,,FBA_X201,12.1
"Razer Blade Stealth 13 Ultrabook Gaming Laptop: Intel Core i7-1065G7 4 Core, NVIDIA GeForce GTX 1650 Max-Q, 13.3"" UHD 4K 60Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB, Thunderbolt 3, Black",B07X4BLRKY,8,1 Lithium ion batteries required. (included),52903,Razer,Dedicated,Classic Black,,2019-09-16,16,NVIDIA GeForce GTX 1650,PC,8.27 x 11.99 x 0.6 ,RZ09-03101E52-R3U1,3840 x 2160 ,Windows 10,,Intel,4,8.27 x 11.99 x 0.6 ,,Blade Stealth 13,13.3
Lenovo ThinkPad P1,B07HF2PKQ8,,1 Lithium ion batteries required. (included),119011,Lenovo,Dedicated,,Unknown,2018-09-13,,NVIDIA Quadro P1000,,20 x 13 x 3 ,20MD002PUS,,,,Intel,6,20 x 13 x 3 ,,ThinkPad P1,15.6
